Metal,Conc,Growth,Pcon
Ni,1445.900103,0.147542832,60.97640629
Ni,1618.434859,0.153366814,63.38333787
Ni,1812.404087,0.039839226,16.46472977
Cd,112,0.222823468,95.81083843
Cd,115,0.222604834,95.71682882
Cd,115,0.226594056,97.43213604
Cd,1156,0.219916497,94.56088322
Cd,1150,0.221969255,95.4435395
Cd,1150,0.209246108,89.97277185
Cd,105.4530247,0.20979,86.7
Cd,324.4553361,0.21129,87.32
Cd,546.8833539,0.20584,85.07
Cd,766.9802026,0.20254,83.71
Cd,993.7983015,0.20995,86.77
Cd,1190.74911,0.19809,81.87
Cd,1419.075171,0.19119,79.02
Cd,1621.822525,0.20213,83.54
Cd,1838.549714,0.20265,83.75
Cd,2050.663432,0.18785,77.63
Cd,2299.184681,0.18669,77.15
Cd,2529.662887,0.19027,78.63
