"","Code","Sample Point","Type","Territory","Municipality","XETRS89","YETRS89","ZETRS89","Water range","Water range type","Basin","Section","Subgroup"
"44","C0AA","Etura","RÍOS","Araba/Álava","Barrundia",540549,4748262,NA,"Zadorra hasta Embalse Ullibarri","Ríos de montaña mediterránea calcárea","Zadorra","Zadorra 5","Aguas (Hidrología)"
"45","C0AB","Nanclares","RÍOS","Araba/Álava","Iruña Oka/Iruña de Oca",514437,4737898,NA,"Zadorra desde Nanclares hasta Ayuda","Ejes mediterráneo-continentales poco mineralizados","Zadorra","Zadorra 11","Aguas (Hidrología)"
"46","C0B1","Abusu","RÍOS","Bizkaia","Arrigorriaga",507010,4788081,NA,"Nerbioi II","Ejes fluviales principales cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Ibaizabal 11","Aguas (Hidrología)"
"47","C0B2","Zaratamo","RÍOS","Bizkaia","Zaratamo",509811,4785026,NA,"Nerbioi II","Ejes fluviales principales cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Nerbioi 11","Aguas (Hidrología)"
"48","C0B3","Urkizu","RÍOS","Bizkaia","Igorre",518506,4781157,NA,"Arratia","Ríos cántabro-atlánticos calcáreos. Muy modificados","Arratia","Arratia 3","Aguas (Hidrología)"
"49","C0B5","Oromiño","RÍOS","Bizkaia","Iurreta",526249,4782182,NA,"Maguna","Ríos cántabro-atlánticos calcáreos","Orobio - Maguna","Orobio 2","Aguas (Hidrología)"
"50","C0B5","Oromiño","RÍOS","Bizkaia","Iurreta",526249,4782182,NA,"Maguna","Ríos cántabro-atlánticos calcáreos","Orobio - Maguna","Orobio 2","Aguas (Hidrología)"
"51","C0B7","Mañaria","RÍOS","Bizkaia","Izurtza",528734,4776621,NA,"Ibaizabal I","Ríos cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Mañaria 2","Aguas (Hidrología)"
"52","C0B8","Larrainazubi","RÍOS","Bizkaia","Getxo",500047,4799056,NA,"Gobelas-A","Ríos cántabro-atlánticos calcáreos. Muy modificados","Gobelas","Gobelas 1","Aguas (Hidrología)"
"53","C0B9","Sangroniz","RÍOS","Bizkaia","Sondika",505608,4792707,NA,"Asua-A","Ríos cántabro-atlánticos calcáreos. Muy modificados","Asua","Asua 2","Aguas (Hidrología)"
"54","C0BA","Oleta","RÍOS","Bizkaia","Amoroto",539813,4798978,NA,"Lea-A","Ríos cántabro-atlánticos calcáreos","Lea","Lea 1","Aguas (Hidrología)"
"55","C0BD","Iruzubieta","RÍOS","Bizkaia","Markina-Xemein",538484,4789312,NA,"Artibai-A","Ríos cántabro-atlánticos calcáreos","Artibai","Artibai 3","Aguas (Hidrología)"
"56","C0BE","Berriatua","RÍOS","Bizkaia","Berriatua",542501,4794747,NA,"Artibai-A","Ríos cántabro-atlánticos calcáreos","Artibai","Artibai 1","Aguas (Hidrología)"
"57","C0C2","Balmaseda","RÍOS","Bizkaia","Balmaseda",482208,4780281,NA,"Cadagua II","Pequeños ejes cántabro-atlánticos calcáreos. Muy modificados","Kadagua","Kadagua 2","Aguas (Hidrología)"
"58","C0C3","Sodupe-Cadagua","RÍOS","Bizkaia","Güeñes",496006,4783300,NA,"Cadagua II","Pequeños ejes cántabro-atlánticos calcáreos. Muy modificados","Kadagua","Kadagua 5","Aguas (Hidrología)"
"59","C0C4","Sodupe-Herrerias","RÍOS","Bizkaia","Güeñes",496390,4783086,NA,"Herrerías","Pequeños ejes cántabro-atlánticos calcáreos","Herrerias","Herrerias 3","Aguas (Hidrología)"
"60","C0C5","Arenao","RÍOS","Bizkaia","Muskiz",488682,4791993,NA,"Barbadun-A","Ríos cántabro-atlánticos calcáreos","Barbadun","Barbadun 2","Aguas (Hidrología)"
"61","DAG050","Beriziba (Angiozar) (BERGARA)","RÍOS","Gipuzkoa","Bergara",545118,4772951,0,"Angiozar-A","Ríos cántabro-atlánticos calcáreos","Angiozar","Angiozar 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"62","DAN055","Aristi (Antzuola) (ANTZUOLA)","RÍOS","Gipuzkoa","Antzuola",549513,4772269,0,"Antzuola-A","Ríos cántabro-atlánticos calcáreos","Antzuola","Antzuola 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"63","DAN056","Aristi 2 (Antzuola) (ANTZUOLA)","RÍOS","Gipuzkoa","Antzuola",549356,4772253,0,"Antzuola-A","Ríos cántabro-atlánticos calcáreos","Antzuola","Antzuola 2","Aguas (Fisicoquímica)#Macroinvertebrados#Organismos fitobentónicos"
"64","DAN069","Aristi 3 (Antzuola) (BERGARA)","RÍOS","Gipuzkoa","Bergara",548496,4773004,NA,"Antzuola-A","Ríos cántabro-atlánticos calcáreos","Antzuola","Antzuola 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Macrófitos#Organismos fitobentónicos"
"65","DAR046","Suñabolueta (Aramaio) (ARAMAIO)","RÍOS","Araba/Álava","Aramaio",537457,4767363,0,"Aramaio-A","Ríos vasco-pirenaicos","Aramaio","Aramaio 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"66","DEB034","Leintz-Gatzaga 1 (Deba Alto) (LEINTZ-GATZAGA)","RÍOS","Gipuzkoa","Leintz-Gatzaga",535348,4758864,0,"Deba-A","Ríos vasco-pirenaicos","Deba","Deba 11","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"67","DEB080","Maulanda (Deba Alto) (ESKORIATZA)","RÍOS","Gipuzkoa","Eskoriatza",535277,4760534,0,"Deba-A","Ríos vasco-pirenaicos","Deba","Deba 11","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"68","DEB202","San Prudentzio (Deba Alto) (BERGARA)","RÍOS","Gipuzkoa","Bergara",544976,4770012,0,"Deba-B","Ríos vasco-pirenaicos. Muy modificados","Deba","Deba 9","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"69","DEB303","Mekoleta (Deba)","RÍOS","Gipuzkoa","Bergara",547877,4777510,NA,"Deba-C","Pequeños ejes cántabro-atlánticos calcáreos. Muy modificados","Deba","Deba 6","Macroinvertebrados#Vida piscícola#Macrófitos#Organismos fitobentónicos"
"70","DEB348","Soraluze (Deba Medio) (SORALUZE-PLACENCIA DE LAS ARMAS)","RÍOS","Gipuzkoa","Soraluze-Placencia de las Armas",547218,4780730,0,"Deba-C","Pequeños ejes cántabro-atlánticos calcáreos. Muy modificados","Deba","Deba 5","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"71","DEB492","Mendaro (Deba Bajo) (MENDARO)","RÍOS","Gipuzkoa","Mendaro",549752,4789309,0,"Deba-D","Ejes fluviales principales cántabro-atlánticos calcáreos. Muy modificados","Deba","Deba 1","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"72","DEG068","Eibar (Ego) (EIBAR)","RÍOS","Gipuzkoa","Eibar",544534,4781971,0,"Ego-A","Ríos cántabro-atlánticos calcáreos. Muy modificados","Ego","Ego 1","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
