id,link,content,start_time,end_time,programme_id,programme_date
Vxve-W0BCKkHyZ2vEgwB,http://rtve.es/v/3326301?t=00h43m55s,"Conocer el nivel de los océanos, su grado de contaminación o la temperatura del agua es el objetivo del nuevo satélite que ultima la Agencia Espacial Europea dentro del programa Copérnicus para la vigilancia del medio ambiente.",2635,2638,3326301,2015-10-16T21:00:00+00:00
GhjP-W0BCKkHyZ2vsAJV,http://rtve.es/v/3326022?t=00h01m49s,"Peritos de la Guardia Civil han negado ante el juez, que la contaminación de la camiseta de Asunta Basterra con semen de un hombre, se produjera en su laboratorio durante el análisis a la prenda.",109,113,3326022,2015-10-16T15:00:00+00:00
exjP-W0BCKkHyZ2vsQJx,http://rtve.es/v/3326022?t=00h19m15s,"""El sector del petróleo y el gas es percibido como parte del problema y puede ser verdad, pero sobre todo, lo que tenemos que ser y somos, es parte de la solución necesariamente"" Este viernes en el juicio por el asesinato de Asunta Basterra han declarado peritos de la guardia civil que han abierto un nuevo interrogante entorno a la contaminación con semen de la camiseta de la niña.",1155,1159,3326022,2015-10-16T15:00:00+00:00
gBjP-W0BCKkHyZ2vsQKk,http://rtve.es/v/3326022?t=00h20m49s,#�NOMBRE?,1249,1253,3326022,2015-10-16T15:00:00+00:00
#�NOMBRE?,http://rtve.es/v/3326022?t=00h37m49s,"Los instrumentos de a bordo le permitirán realizar mediciones muy precisas de los océanos: temperatura, contaminación, nivel de las aguas.",2269,2274,3326022,2015-10-16T15:00:00+00:00
jhfP-W0BCKkHyZ2vONrW,http://rtve.es/v/3329426?t=00h36m44s,El ayuntamiento de Madrid quiere restringir la circulación de motocicletas cuando se alcancen picos de contaminación.,2204,2208,3329426,2015-10-14T21:00:00+00:00
kBfP-W0BCKkHyZ2vONrd,http://rtve.es/v/3329426?t=00h37m01s,¿Motos NO cuando dispara la contaminación esos 400 microgramos de dióxido de nitrógeno que marca la Unión Europea?,2221,2225,3329426,2015-10-14T21:00:00+00:00
mRfP-W0BCKkHyZ2vONr2,http://rtve.es/v/3329426?t=00h37m42s,#�NOMBRE?,2262,2265,3329426,2015-10-14T21:00:00+00:00
nRfP-W0BCKkHyZ2vOdoC,http://rtve.es/v/3329426?t=00h38m14s,Y dicen los expertos que mejor que actuar cuando se dispara la contaminación sería no llegar nunca a esos niveles de polución.,2294,2296,3329426,2015-10-14T21:00:00+00:00
MBrd-W0BCKkHyZ2vI99T,http://rtve.es/v/3316643?t=00h35m48s,"Si, se trata del hombre cuyo semen apareció en la camiseta de la niña, cuando estaba siendo examinada en un laboratorio de la Guardia Civil pero que fue desimputado, al considerar el juez instructor que se trataba de una contaminación accidental.",2148,2152,3316643,2015-10-08T21:00:00+00:00
ORrd-W0BCKkHyZ2vI9-I,http://rtve.es/v/3316643?t=00h37m20s,Después se demostró que había sido una contaminación en el laboratorio.,2240,2244,3316643,2015-10-08T21:00:00+00:00
EyD1-W0BCKkHyZ2vv5SX,http://rtve.es/v/3309749?t=00h31m27s,"Una jornada para conocer su biodiversidad pero también para concienciarnos de sus problemas, Clara Hostalet Si porque los datos son contundentes y es que Europa ha perdido 420 millones de aves debido al destrozo de su hábitat la contaminación etc. la contaminación etc.",1887,1891,3309749,2015-10-03T15:00:00+00:00
4RnU-W0BCKkHyZ2vLQP8,http://rtve.es/v/3306290?t=00h20m52s,"En Europa mueren 300,000 personas por la contaminación.",1252,1256,3306290,2015-09-30T21:00:00+00:00
4xnU-W0BCKkHyZ2vLgMC,http://rtve.es/v/3306290?t=00h21m01s,"Tenemos serios indicios de que afectará a otras compañías de automóviles porque sabemos ya que la contaminación de los coches diésel es en Europa en realidad 7 veces mayor de lo que dicen"".",1261,1264,3306290,2015-09-30T21:00:00+00:00
